===== START step5-ai-score10 2026/02/09 22:04:53.54 ===== 
[dotenv@17.2.3] injecting env (12) from .env.local -- tip: 🗂️ backup and recover secrets: https://dotenvx.com/ops
✅ step5-ai-score10-fill-empty start {
  LIMIT: 200,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 55,
  confidence: 0.7,
  rationale: 'コメディ要素はあるが、ストーリーは平凡で感情の動きは弱い。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 294,
  title: '恋愛ラボ',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 5,
  score_100: 58.5,
  confidence: 0.8,
  rationale: '日常ギャグとしては楽しめるが、ストーリーや世界観は平凡。テンポは良好で安心して視聴できる。'
}
→ {
  id: 295,
  title: 'ラブライブ！ School idol project',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 9,
  score_100: 76.5,
  confidence: 0.8,
  rationale: 'ストーリーは感情の積み上げが良いが、特に新鮮さは感じない。作画と音楽は高水準で、特に音楽が感情を引き立てている。'
}
→ {
  id: 296,
  title: '夜桜四重奏 ～ヨザクラカルテット～',
  story_10: 6,
  animation_10: 8,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 65,
  confidence: 0.8,
  rationale: 'アクションと演出は良いが、ストーリーは平凡で感情の動きが弱い。世界観は魅力的だが独自性はやや不足。'
}
→ {
  id: 297,
  title: 'ログ・ホライズン',
  story_10: 8,
  animation_10: 7,
  world_10: 9,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 76.5,
  confidence: 0.8,
  rationale: 'シナリオは戦略と交渉が中心で面白いが、感情的な深みはやや薄い。世界観は独自性が高く、テンポも良好。作画は安定しているが特筆すべき点は少ない。'
}
→ {
  id: 298,
  title: '私がモテないのはどう考えてもお前らが悪い!',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 5,
  score_100: 69.5,
  confidence: 0.8,
  rationale: '主人公の独白が共感を呼ぶが、ストーリーはやや単調。作画は平凡で、音楽は印象に残らない。'
}
→ {
  id: 299,
  title: 'ワルキューレ ロマンツェ',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 6,
  music_10: 5,
  score_100: 54,
  confidence: 0.7,
  rationale: '恋愛と競技要素の組み合わせは面白いが、ストーリーは平凡。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 300,
  title: 'いなり、こんこん、恋いろは。',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 7,
  score_100: 72.5,
  confidence: 0.8,
  rationale: '恋愛と成長のテーマがしっかり描かれているが、ストーリーはやや平凡。感情表現は良好で、テンポも良い。作画は可もなく不可もなく。'
}
→ {
  id: 301,
  title: 'ウィッチクラフトワークス',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 64,
  confidence: 0.8,
  rationale: 'ストーリーはバトルとギャグの組み合わせで楽しめるが、特に印象的な点は少ない。作画は良好だが特筆すべき点はなし。'
}
→ {
  id: 302,
  title: 'Wake Up, Girls!',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 72.5,
  confidence: 0.8,
  rationale: '地方アイドルのリアルな苦労が描かれており、感情に刺さる部分が強い。作画は平凡だが、音楽が感情を引き立てている。'
}
→ {
  id: 303,
  title: '最近、妹のようすがちょっとおかしいんだが。',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 55,
  confidence: 0.7,
  rationale: '設定は突飛だが、ストーリーは平凡で感情移入が薄い。テンポは良好だが、全体的に印象が弱い。'
}
→ {
  id: 304,
  title: 'GJ部',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 5,
  score_100: 64.5,
  confidence: 0.8,
  rationale: '会話中心のストーリーは平凡だが、日常コメディとしてのテンポは良好。作画は安定しており、感情的な要素もあるが、音楽は印象に残りにくい。'
}
→ {
  id: 305,
  title: '桜Trick',
  story_10: 6,
  animation_10: 6,
  world_10: 7,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 66.5,
  confidence: 0.8,
  rationale: '友情と恋の境界を描くテーマは興味深いが、ストーリーは平凡。作画は良いが特筆すべき点は少ない。テンポは良好で視聴しやすい。'
}
→ {
  id: 306,
  title: 'ディーふらぐ！',
  story_10: 6,
  animation_10: 6,
  world_10: 7,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 59.5,
  confidence: 0.8,
  rationale: 'コメディ要素が強く、ストーリーは平凡。世界観は学園ものとしては良いが独自性は低め。テンポは良好だが感情的な深みは薄い。'
}
→ {
  id: 307,
  title: 'ニセコイ',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 65.5,
  confidence: 0.8,
  rationale: '王道ラブコメでストーリーは平凡だが、キャラクターのやり取りが楽しめる。作画はシャフトらしいスタイリッシュさがあるが、特に突出した点は少ない。'
}
→ {
  id: 308,
  title: 'となりの関くん',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 5,
  score_100: 64.5,
  confidence: 0.8,
  rationale: 'コメディとしてのシンプルなストーリーは楽しめるが、深みは薄い。テンポは良好で、作画は安定しているが特筆すべき点は少ない。'
}
→ {
  id: 309,
  title: 'のうりん',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 65.5,
  confidence: 0.8,
  rationale: '農業とアイドルの組み合わせは面白いが、ストーリーは平凡。作画は良好で、テンポも良いが、音楽は特筆すべき点が少ない。'
}
→ {
  id: 310,
  title: 'ノラガミ',
  story_10: 7,
  animation_10: 8,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 7,
  score_100: 75.5,
  confidence: 0.8,
  rationale: 'キャラクターの成長や友情が描かれ、感情移入しやすい。作画は高水準だが、特に突出した点はない。世界観は魅力的だが、独自性はやや低め。'
}
→ {
  id: 311,
  title: 'バディ・コンプレックス',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 64,
  confidence: 0.8,
  rationale: 'ストーリーは友情と絆をテーマにしているが、特に新鮮さは感じられない。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 312,
  title: 'ハマトラ',
  story_10: 6,
  animation_10: 5,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 62,
  confidence: 0.8,
  rationale: 'ストーリーはバトルサスペンスとしては平凡で、特に印象的な展開が少ない。作画は普通で、世界観は能力者ものとしては良いが独自性に欠ける。'
}
→ {
  id: 313,
  title: '鬼灯の冷徹',
  story_10: 7,
  animation_10: 8,
  world_10: 9,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 7,
  score_100: 73.5,
  confidence: 0.8,
  rationale: '地獄を舞台にした独特の世界観が魅力的でworld高め。ストーリーは面白いが感情的な深みはやや弱い。作画は良好でテンポも良い。'
}
→ {
  id: 314,
  title: '魔法戦争',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 6,
  music_10: 5,
  score_100: 54,
  confidence: 0.7,
  rationale: 'ストーリーは平凡で新鮮味が薄い。作画はマッドハウスらしいが特筆すべき点は少ない。全体的に中庸で感情を強く動かす要素が不足している。'
}
→ {
  id: 315,
  title: '未確認で進行形',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 65.5,
  confidence: 0.8,
  rationale: 'ラブコメとしてのストーリーは可もなく不可もなく。キャラクターの関係性は面白いが、特に印象的な世界観は感じられない。テンポは良好で、視聴ストレスは少ない。'
}
→ {
  id: 316,
  title: '悪魔のリドル',
  story_10: 7,
  animation_10: 6,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 7,
  music_10: 6,
  score_100: 70,
  confidence: 0.8,
  rationale: 'シナリオは興味深いが、展開にやや平凡さを感じる。世界観は独特で魅力的だが、作画は平均的。'
}
→ {
  id: 317,
  title: '一週間フレンズ。',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '感情的な描写が強く、心を動かされるシーンが多い。ストーリーは良いが、独自性はやや欠ける。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 318,
  title: '彼女がフラグをおられたら',
  story_10: 6,
  animation_10: 5,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 7,
  music_10: 5,
  score_100: 61.5,
  confidence: 0.8,
  rationale: 'フラグが見える設定は面白いが、ストーリーは平凡。作画は普通で、感情的なシーンはあるが突出したものではない。'
}
→ {
  id: 319,
  title: '極黒のブリュンヒルデ',
  story_10: 6,
  animation_10: 5,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 62,
  confidence: 0.8,
  rationale: 'ダークSFサスペンスとしての設定は面白いが、ストーリー展開が平凡で感情移入が弱い。作画は平均的で、音楽はシーンを盛り上げるが特筆すべき点は少ない。'
}
→ {
  id: 320,
  title: '健全ロボ ダイミダラー',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 55,
  confidence: 0.7,
  rationale: '下ネタと熱血の組み合わせはユニークだが、ストーリーは平凡。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 321,
  title: 'ご注文はうさぎですか？',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 6,
  score_100: 70,
  confidence: 0.8,
  rationale: '日常系の癒し要素が強く、心が温まるが、ストーリーは平凡。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 322,
  title: 'シドニアの騎士',
  story_10: 8,
  animation_10: 9,
  world_10: 9,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 7,
  score_100: 79.5,
  confidence: 0.8,
  rationale: '硬派なSFと戦闘の緊張感が魅力的で、シナリオと世界観が高評価。感情の動きはやや弱めだが、テンポは良好。'
}
→ {
  id: 323,
  title: '星刻の竜騎士',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 6,
  music_10: 5,
  score_100: 54,
  confidence: 0.7,
  rationale: 'シナリオは平凡で、特に印象的な展開が少ない。作画は良いが特筆すべき点はなし。世界観は一般的なファンタジーで独自性が薄い。'
}
→ {
  id: 324,
  title: 'selector infected WIXOSS',
  story_10: 8,
  animation_10: 7,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 80,
  confidence: 0.8,
  rationale: '心理的なダークさが強く、ストーリーは引き込まれる。世界観は独自性が高いが、作画はやや平凡。音楽は感情を増幅する良さがある。'
}
→ {
  id: 325,
  title: 'それでも世界は美しい',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 70.5,
  confidence: 0.8,
  rationale: '王道ロマンスの展開が魅力的でemotion高め。作画は良いが特筆すべき点は少なく、世界観も一般的。'
}
→ {
  id: 326,
  title: 'ノーゲーム・ノーライフ',
  story_10: 7,
  animation_10: 9,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 8,
  score_100: 76,
  confidence: 0.8,
  rationale: 'シナリオは面白いが独創性に欠ける部分があり、作画は非常に高水準。音楽もシーンを盛り上げるが、感情の動きはやや控えめ。'
}
→ {
  id: 327,
  title: 'ハイキュー!!',
  story_10: 7,
  animation_10: 6,
  world_10: 6,
  emotion_10: 10,
  tempo_10: 8,
  music_10: 6,
  score_100: 74.5,
  confidence: 0.9,
  rationale: '感動的な成長物語でemotionは高いが、ストーリーや世界観は特に独自性が強くない。テンポは良好で視聴しやすい。'
}
→ {
  id: 328,
  title: '棺姫のチャイカ',
  story_10: 7,
  animation_10: 8,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 7,
  score_100: 74,
  confidence: 0.8,
  rationale: 'シナリオは興味深いが特に突出した点はない。作画は高水準で、世界観も魅力的。感情的な要素はあるが、深い感動には至らない。'
}
→ {
  id: 329,
  title: 'ピンポン THE ANIMATION',
  story_10: 9,
  animation_10: 8,
  world_10: 9,
  emotion_10: 10,
  tempo_10: 8,
  music_10: 7,
  score_100: 88.5,
  confidence: 0.9,
  rationale: '青春群像劇としての深い人間ドラマが心を動かす。作画は高水準だが特に突出はせず。世界観は独自性が高い。'
}
→ {
  id: 330,
  title: 'ブラック・ブレット',
  story_10: 6,
  animation_10: 7,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 6,
  music_10: 7,
  score_100: 68.5,
  confidence: 0.8,
  rationale: 'ダークな世界観が魅力的で没入感があるが、ストーリーはやや平凡。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 331,
  title: 'ブレイドアンドソウル',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 6,
  music_10: 6,
  score_100: 63.5,
  confidence: 0.8,
  rationale: '復讐譚としてのドラマはあるが、シナリオは平凡。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 332,
  title: 'ベイビーステップ',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 6,
  score_100: 71.5,
  confidence: 0.8,
  rationale: 'リアルな成長物語が魅力的でemotion高め。作画は平凡だが、テンポは良好。'
}
→ {
  id: 333,
  title: '僕らはみんな河合荘',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 6,
  score_100: 71.5,
  confidence: 0.8,
  rationale: 'ラブコメとしてのストーリーは良好だが、特に突出した点はない。キャラクターの個性が強く、感情移入しやすいが、作画は平凡。テンポは良好で視聴しやすい。'
}
→ {
  id: 334,
  title: '魔法科高校の劣等生',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 7,
  score_100: 68.5,
  confidence: 0.8,
  rationale: 'シナリオは興味深いが、特に新鮮さに欠ける。作画は良好で、音楽もシーンを盛り上げるが、感情的な深みはやや不足。'
}
→ {
  id: 335,
  title: 'マンガ家さんとアシスタントさんと',
  story_10: 6,
  animation_10: 5,
  world_10: 6,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 5,
  score_100: 60,
  confidence: 0.7,
  rationale: 'コメディ要素は楽しめるが、ストーリーやキャラクターの深みは薄い。テンポは良く、短尺で気軽に見やすい。'
}
→ {
  id: 336,
  title: 'メカクシティアクターズ',
  story_10: 7,
  animation_10: 8,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 6,
  music_10: 7,
  score_100: 72,
  confidence: 0.8,
  rationale: '群像劇としてのストーリーは面白いが、全体的にやや散漫。作画は独特で魅力的だが、テンポが時折ダレる。音楽は雰囲気を引き立てるが、特に印象的ではない。'
}
→ {
  id: 337,
  title: '龍ヶ嬢七々々の埋蔵金',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 6,
  score_100: 63,
  confidence: 0.8,
  rationale: '宝探しのテーマは面白いが、ストーリーは平凡で深みが不足。作画は良好でテンポも良いが、感情的なインパクトは弱め。'
}
→ {
  id: 338,
  title: 'アオハライド',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 77,
  confidence: 0.8,
  rationale: '恋愛要素が強く、感情が動かされる描写が多い。作画は良好だが、世界観は一般的な青春ものに留まる。'
}
→ {
  id: 339,
  title: 'アカメが斬る！',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 72.5,
  confidence: 0.8,
  rationale: '仲間との絆や運命に抗うテーマが感情を引き出す。作画は良好だが特筆すべき点は少なく、音楽は平凡。'
}
→ {
  id: 340,
  title: 'アルドノア・ゼロ',
  story_10: 9,
  animation_10: 8,
  world_10: 6,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 10,
  score_100: 79.5,
  confidence: 0.9,
  rationale: 'ストーリーは戦術的で引き込まれるが、世界観は一般的な宇宙戦争に留まる。音楽は非常に効果的で感情を高める。'
}
→ {
  id: 341,
  title: 'グラスリップ',
  story_10: 5,
  animation_10: 7,
  world_10: 8,
  emotion_10: 6,
  tempo_10: 6,
  music_10: 7,
  score_100: 63.5,
  confidence: 0.8,
  rationale: '青春ドラマとしての雰囲気は良いが、ストーリーは掴みどころが少なく平凡。作画はP.A.WORKSらしく高水準。音楽は感情を引き立てるが、全体的に印象が薄い。'
}
→ {
  id: 342,
  title: '月刊少女野崎くん',
  story_10: 7,
  animation_10: 7,
  world_10: 6,
  emotion_10: 8,
  tempo_10: 9,
  music_10: 6,
  score_100: 71.5,
  confidence: 0.8,
  rationale: 'コメディ要素が強く、テンポが良い。ストーリーは面白いが深みは薄め。感情移入しやすいが、世界観は一般的。'
}
→ {
  id: 343,
  title: 'さばげぶっ!',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 5,
  score_100: 61,
  confidence: 0.8,
  rationale: 'ギャグが中心でストーリーは薄め。テンポは良く、笑いの要素が強いが、音楽は印象に残らない。'
}
→ {
  id: 344,
  title: '精霊使いの剣舞',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 55,
  confidence: 0.7,
  rationale: '王道の学園ファンタジーでストーリーは平凡。作画は可もなく不可もなく。テンポは良いが感情に訴える要素が弱い。'
}
→ {
  id: 345,
  title: '東京喰種 トーキョーグール',
  story_10: 8,
  animation_10: 7,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 80,
  confidence: 0.9,
  rationale: 'シナリオは人間と喰種の葛藤を描き深いが、展開にやや平凡さも。世界観は独特で没入感が高い。音楽が感情を引き立てる。'
}
→ {
  id: 346,
  title: '東京ESP',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 6,
  score_100: 59.5,
  confidence: 0.8,
  rationale: '能力アクションとしては楽しめるが、ストーリーやキャラクターの深みが不足。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 347,
  title: 'ばらかもん',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '心温まる成長物語でemotion高め。作画は良いが特別ではない。世界観は田舎の癒しが感じられ、テンポも良好。'
}
→ {
  id: 348,
  title: 'Fate/kaleid liner プリズマ☆イリヤ ツヴァイ!',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 7,
  score_100: 66,
  confidence: 0.8,
  rationale: 'ストーリーは続編としての強化が見られるが、特に目新しさは薄い。作画は良好だが特出した点は少ない。テンポは良く、音楽もシーンに合っている。'
}
→ {
  id: 349,
  title: '普通の女子校生が【ろこどる】やってみた。',
  story_10: 6,
  animation_10: 5,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 5,
  score_100: 61,
  confidence: 0.8,
  rationale: '日常系のストーリーは平凡だが、等身大の青春を描いている。作画は平凡で、音楽も特に印象的ではないが、テンポは良好。'
}
→ {
  id: 350,
  title: 'RAIL WARS!',
  story_10: 5,
  animation_10: 6,
  world_10: 5,
  emotion_10: 4,
  tempo_10: 7,
  music_10: 5,
  score_100: 50.5,
  confidence: 0.7,
  rationale: '軽めのアクションとコメディでストーリーは平凡。作画は可もなく不可もなく。テンポは良いが感情を動かす要素は弱い。'
}
→ {
  id: 351,
  title: '六畳間の侵略者!?',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 55,
  confidence: 0.7,
  rationale: 'キャラの掛け合いは楽しめるが、ストーリーは平凡で感情移入が薄い。テンポは良好だが、音楽や世界観は特筆すべき点が少ない。'
}
→ {
  id: 352,
  title: '暁のヨナ',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '姫の成長と仲間集めの物語が感情を動かす。作画は良いが特別ではない。世界観はファンタジーとして魅力的。'
}
→ {
  id: 353,
  title: '甘城ブリリアントパーク',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 7,
  score_100: 74.5,
  confidence: 0.8,
  rationale: 'テーマパーク再建のストーリーは面白いが特別な深みはない。作画は高水準で、感情の盛り上がりも良好。'
}
→ {
  id: 354,
  title: '異能バトルは日常系のなかで',
  story_10: 6,
  animation_10: 8,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 66.5,
  confidence: 0.8,
  rationale: 'キャラの会話や関係性が楽しめるが、ストーリーは平凡。作画はTRIGGERらしく高水準で、テンポも良好。'
}
→ {
  id: 355,
  title: '失われた未来を求めて',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 64,
  confidence: 0.8,
  rationale: 'シナリオは興味深いが、深みが不足。作画は良好だが特筆すべき点は少ない。感情移入はできるが、強い印象には欠ける。'
}
→ {
  id: 356,
  title: 'オオカミ少女と黒王子',
  story_10: 6,
  animation_10: 6,
  world_10: 7,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 66.5,
  confidence: 0.8,
  rationale: '学園恋愛のテーマは一般的だが、キャラクターの駆け引きが面白い。作画は平凡で音楽も印象に残らないが、テンポは良好。'
}
→ {
  id: 357,
  title: '俺、ツインテールになります。',
  story_10: 5,
  animation_10: 6,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 5,
  score_100: 59.5,
  confidence: 0.7,
  rationale: 'バトルとコメディの要素は楽しめるが、ストーリーは平凡で深みが不足。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 358,
  title: 'ガールフレンド(仮)',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 55,
  confidence: 0.7,
  rationale: '日常系の群像劇で深みは薄いが、気軽に楽しめる。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 359,
  title: '寄生獣 セイの格率',
  story_10: 9,
  animation_10: 8,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 83.5,
  confidence: 0.9,
  rationale: '緊迫したストーリー展開が魅力的で、テーマも深い。作画は高水準だが、時折平凡さも感じる。音楽が感情を引き立てる。'
}
→ {
  id: 360,
  title: 'グリザイアの果実',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 6,
  music_10: 7,
  score_100: 70.5,
  confidence: 0.8,
  rationale: 'トラウマを抱えたキャラクターたちの物語は感情的で引き込まれるが、テンポがややダレる部分がある。作画は平凡で、音楽はシーンを盛り上げるが特別な印象は薄い。'
}
→ {
  id: 361,
  title: 'クロスアンジュ 天使と竜の輪舞',
  story_10: 7,
  animation_10: 8,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 6,
  music_10: 7,
  score_100: 72,
  confidence: 0.8,
  rationale: '差別と反逆をテーマにしたストーリーは興味深いが、展開にやや平凡さを感じる。作画は良好で、音楽もシーンを盛り上げるが、テンポが時折ダレる。'
}
→ {
  id: 362,
  title: '四月は君の嘘',
  story_10: 9,
  animation_10: 8,
  world_10: 8,
  emotion_10: 10,
  tempo_10: 8,
  music_10: 9,
  score_100: 88.5,
  confidence: 0.9,
  rationale: '感動的な成長物語でemotion10。音楽が重要な役割を果たし、musicも高評価。作画は良いが特別ではない。'
}
→ {
  id: 363,
  title: 'SHIROBAKO',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.9,
  rationale: 'アニメ制作のリアルな描写が感情を動かし、成長物語としても魅力的。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 364,
  title: '天体のメソッド',
  story_10: 7,
  animation_10: 8,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 6,
  music_10: 7,
  score_100: 72,
  confidence: 0.8,
  rationale: 'シナリオは感情の回収が良いが、やや平凡。作画は高水準で、世界観も魅力的。テンポは少しダレる部分がある。'
}
→ {
  id: 365,
  title: '旦那が何を言っているかわからない件',
  story_10: 6,
  animation_10: 5,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 5,
  score_100: 62.5,
  confidence: 0.8,
  rationale: 'コメディとしての軽快さはあるが、ストーリーや作画は平凡。感情移入はできるが、特に印象的な要素は少ない。'
}
→ {
  id: 366,
  title: 'トリニティセブン',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 6,
  score_100: 59.5,
  confidence: 0.8,
  rationale: 'ストーリーはバトルと掛け合いが中心で平凡。作画は良好だが特筆すべき点は少ない。感情的な深みは薄く、テンポは良好。'
}
→ {
  id: 367,
  title: 'Fate/stay night [Unlimited Blade Works]',
  story_10: 9,
  animation_10: 10,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 9,
  score_100: 88,
  confidence: 0.9,
  rationale: 'シナリオは深く、正義のテーマが強く描かれている。作画はufotableの最高峰で、戦闘シーンが特に印象的。音楽も感情を引き立てるが、世界観はやや一般的。'
}
→ {
  id: 368,
  title: '残響のテロル',
  story_10: 8,
  animation_10: 7,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 9,
  score_100: 81,
  confidence: 0.8,
  rationale: '社会派サスペンスとしてのテーマが強く、音楽が感情を増幅。作画は良いが特別ではない。'
}
→ {
  id: 369,
  title: 'まじっく快斗1412',
  story_10: 7,
  animation_10: 7,
  world_10: 8,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 6,
  score_100: 69.5,
  confidence: 0.8,
  rationale: 'トリックや駆け引きが楽しめるが、感情的な深みはやや不足。作画は安定しているが特筆すべき点は少ない。'
}
→ {
  id: 370,
  title: '魔弾の王と戦姫',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 6,
  music_10: 6,
  score_100: 58.5,
  confidence: 0.8,
  rationale: 'ストーリーは戦記ファンタジーとしては平凡で、感情的な深みが不足。作画は良好だが特別ではない。'
}
→ {
  id: 371,
  title: '結城友奈は勇者である',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 7,
  music_10: 8,
  score_100: 80.5,
  confidence: 0.85,
  rationale: '仲間の絆と喪失の感情描写が強く、心を動かされる。作画は良いが特に突出はしない。'
}
→ {
  id: 372,
  title: 'ワールドトリガー（1stシーズン）',
  story_10: 7,
  animation_10: 6,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 8,
